itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
13752,BL81981,0370014979,13452,"The end of the affair","Greene, Graham",2012-02-24
13753,BL80518,0586208313,13453,"Barbara Taylor Bradford - A Woman Of Substance(Disc 1, Disc 2)","BRADFORD, BARBARA TAYLOR",2013-02-05
13754,BL80601,0330250493,13454,"All creatures great and small : Vol 1, 2, 3 (Disc 1, 2, 3)","HERRIOT, JAMES",2012-09-01
13755,BL81944,0330250493,13454,"All creatures great and small : Vol 1, 2, 3 (Disc 1, 2, 3)","HERRIOT, JAMES",2014-01-10
13756,BL80479,1842324926,13455,"Doctor at sea","GORDON, RICHARD",2013-05-17
13757,BL202271,,13456,"Reader Rabbit 2nd grade (CD-ROM) ages 6-8",,2014-01-02
13758,BL80043,0333657039,13457,"Jane Eyre: Charlotte Bronte","BRONTE, CHARLOTTE",2012-08-09
13759,BL80484,0470844914,13458,"The sixth sense (Disc 1, Disc2)","Marshall, Frank",2014-01-21
13760,BL80115,,13459,"Doctor Who: The Ark In Space",,2013-02-06
13761,BL80109,,13460,"Doctor Who: The Caves Of Androzani",,2011-03-14
13762,BL80117,,13461,"Doctor Who: Remembrance Of The Daleks",,2013-06-20
13763,BL80016,5023940002076,13462,"Shakespeare In Love",,2013-02-05
13764,BL82105,,13463,"My Fair Lady(2 Disc)","Viewership Level Universal",2014-02-01
13765,BL80625,,13464,"The Railway Children.",,2013-02-05
13766,BL80066,,13465,"King Lear.",,2011-03-14
13767,BL80119,,13466,"The Complete Flumps",,2013-02-06
13768,BL80104,,13467,"Doctor Who: Vengence on Varos.",,2012-12-09
13769,BL80088,,13468,"The Canterbury Tales.",,2012-08-19
13770,BL80116,,13470,"Churchill. 1 Disc",2001,2012-04-19
13771,BL80147,,13471,"Under Milk Wood.",,2011-08-28
13772,BL80022,,13472,"Made In Britain.",,2013-02-06
13774,BL81383,,13474,"Sense And Sensibility.",,2014-01-10
13775,BL80013,5017188882354,13475,"Her Majesty Mrs.Brown","Miramax Films",2013-02-06
13776,BL80097,,13476,"Henry V","SHARMAN, BRUCE",2012-08-09
13777,BL82749,,13477,Sleuth,"Michael Caine and Jude Law",2014-01-08
13778,BL80063,,13478,Rope,,2013-02-06
13779,BL80120,,13479,Persuasion.,,2013-02-06
13780,BL80257,,13480,"Carry On Screaming.",,2011-03-14
13781,BL80129,,13481,"Mansfield Park",,2012-09-02
13783,BL80008,,13483,"Much Ado About Nothing",,2011-03-14
13784,BL80143,,13484,"Twelfth Night",,2013-02-05
13785,BL80065,,13485,Alfie,,2013-02-05
13786,BL80133,,13486,Porridge,,2013-02-06
13787,BL80033,,13487,"The Madness of King George The Samuel Goldwyn Company 1994 Viewership Level: Parental Guidance, Pds:8.49",,2012-11-17
13788,BL80640,,13488,"The Borrowers",,2013-02-07
13790,BL80142,,13491,"The Taming Of The Shrew",,2013-02-06
13792,BL80160,,13493,"Doctor Who The Five Doctors",,2013-02-06
13793,BL80074,,13494,"Raining Stones",,2012-02-14
13794,BL80156,,13495,"The Servant",,2012-09-14
13795,BL80108,,13496,"Doctor Who: The Robots Of Death",,2013-02-06
13796,BL82734,,13497,"Brief Encounter",,2013-12-27
13797,BL80151,,13498,"A Warning To The Curious",,2013-02-06
13798,BL82325,,13498,"A Warning To The Curious",,2012-08-12
13799,BL80045,,13499,"The Intelligence Men",,2013-02-06
13800,BL80025,,13500,"Educating Rita",,2011-03-14
13801,BL80061,,13501,"Brassed Off",,2013-02-06
13802,BL80155,,13502,"Swiss Family Robinson",,2012-11-30
13803,BL80101,,13503,"Everybody Loves Sunshine","REAY, JOANNE",2013-02-06
13804,BL80059,,13504,"The Low Down",,2011-03-14
13805,BL80158,,13505,"David Copperfield",,2013-02-06
13806,BL80140,,13506,"The Merry Wives Of Windsor",,2011-03-14
13807,BL80636,,13507,"A Night To Remember(Side A, Side B)",,2013-02-07
13808,BL80144,,13508,"Tarka The Otter",,2013-12-18
13809,BL80077,,13509,"Absolutely Fabulous: The Last Shout",,2013-02-06
13810,BL80146,,13510,"Topsy Turvy",,2012-08-25
13812,BL80056,,13512,"The Likely Lads",,2013-02-06
13813,BL80258,,13513,"Carry On Cabby",,2013-02-06
13815,BL80079,,13515,Honest,,2013-02-06
13816,BL80735,,13516,"The Hound Of The Baskervilles",,2013-12-18
13817,BL82203,,13516,"The Hound Of The Baskervilles",,2014-01-21
13818,BL82194,,13517,"A Little Princess",,2014-02-02
13819,BL80148,,13518,"Saving Grace","Cole Nigel",2013-02-05
13820,BL80106,,13519,"Black Beauty",,2014-01-21
13822,BL80080,,13521,"Never Say Never Again",,2012-08-12
13823,BL80093,,13522,KES,,2011-03-14
13826,,,13524,"Love's Labour's Lost",,2011-03-14
13828,BL80118,,13526,"Animal Farm",,2012-08-09
13829,BL80057,,13527,"The Mirror Crack'd",,2013-02-06
13830,BL80125,,13527,"The Mirror Crack'd",,2013-02-06
13832,BL80006,,13529,"The Full Monty",,2013-12-18
